Level,vendorCode,vendorName,deviceCode,deviceName,subvendorCode,subvendorName
"1","0001","SafeNet (wrong ID)","N/A","N/A","N/A","N/A"
"1","0010","Allied Telesis, Inc (Wrong ID)","N/A","N/A","N/A","N/A"
"2","0010","Allied Telesis, Inc (Wrong ID)","8139","AT-2500TX V3 Ethernet","N/A","N/A"
"1","0014","Loongson Technology LLC","N/A","N/A","N/A","N/A"
"2","0014","Loongson Technology LLC","7a00","Hyper Transport Bridge Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a02","APB (Advanced Peripheral Bus) Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a03","Gigabit Ethernet Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a04","OTG USB Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a05","Vivante GPU (Graphics Processing Unit)","N/A","N/A"
"2","0014","Loongson Technology LLC","7a06","DC (Display Controller)","N/A","N/A"
"2","0014","Loongson Technology LLC","7a07","HDA (High Definition Audio) Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a08","SATA AHCI Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a09","PCI-to-PCI Bridge","N/A","N/A"
"2","0014","Loongson Technology LLC","7a0b","SPI Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a0c","LPC Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a0f","DMA (Direct Memory Access) Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a10","Hyper Transport Bridge Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a14","EHCI USB Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a15","Vivante GPU (Graphics Processing Unit)","N/A","N/A"
"2","0014","Loongson Technology LLC","7a19","PCI-to-PCI Bridge","N/A","N/A"
"2","0014","Loongson Technology LLC","7a24","OHCI USB Controller","N/A","N/A"
"2","0014","Loongson Technology LLC","7a29","PCI-to-PCI Bridge","N/A","N/A"
"1","001c","PEAK-System Technik GmbH","N/A","N/A","N/A","N/A"
"2","001c","PEAK-System Technik GmbH","0001","PCAN-PCI CAN-Bus controller","N/A","N/A"
"3","001c","PEAK-System Technik GmbH","0001","PCAN-PCI CAN-Bus controller","001c 0004","2 Channel CAN Bus SJC1000"
"3","001c","PEAK-System Technik GmbH","0001","PCAN-PCI CAN-Bus controller","001c 0005","2 Channel CAN Bus SJC1000 (Optically Isolated)"
"1","003d","Lockheed Martin-Marietta Corp","N/A","N/A","N/A","N/A"
"1","0059","Tiger Jet Network Inc. (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0070","Hauppauge computer works Inc.","N/A","N/A","N/A","N/A"
"2","0070","Hauppauge computer works Inc.","7801","WinTV HVR-1800 MCE","N/A","N/A"
"1","0071","Nebula Electronics Ltd.","N/A","N/A","N/A","N/A"
